from,to,date_from,date_to,place_from,y_from,x_from,place_to,x_to,y_to
Sir Nathaniel Bacon,Sir Michael Hicks (Hickes),15930101,15931231,NA,NA,NA,NA,NA,NA
"Sir Thomas Parry, ambassador",Princess Catherine de Bourbon,16020913,16020913,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,Marshal (Aumont).,15950201,15950228,NA,NA,NA,NA,NA,NA
Adam Loftus,"Sir William Cecil, Lord Burghley",15830726,15830726,NA,NA,NA,Court of St. James,-0.1375,51.50472222
John Savile,"Sir Robert Cecil, Earl of Salisbury",16000816,16000816,York,53.95833333,-1.080277778,Greenwich,-0,51.48
Abbot of Maroilles,Estates General,15780930,15780930,NA,NA,NA,Hague,4.316666667,52.08333333
"Gustavus I., King of Sweden",Queen Elizabeth I,15591125,15591125,Stockholm,59.32944444,18.06861111,Greenwich,-0,51.48
Andres de Prada,Thomas Honyman,16030511,16030521,NA,NA,NA,NA,NA,NA
Sir William Drury,"Sir William Cecil, Lord Burghley",15670709,15670709,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Henry VIII,Leo. X,15151229,15151229,Well Hall,51.45641667,0.049166667,Rome,12.5,41.9
Wm. Panizon,"Thomas Cromwell, Earl of Essex",15341022,15341022,Paris,48.8567,2.3508,Hampton Court,-0.3375,51.40333333
James Bettes,Cardinal Thomas Wolsey,15230430,15230430,Southampton,50.9,-1.4,Westminster,-0.1333,51.4995
"Marmaduke Middleton, Bishop of Waterford and Lismore",Sir Francis Walsingham,15800819,15800819,NA,NA,NA,Paris,2.3508,48.8567
Richard Tomson,Sir Francis Walsingham,15890904,15890904,Calais,50.94805556,1.856388889,Paris,2.3508,48.8567
Manuel d'Andrada,"Sir William Cecil, Lord Burghley",15930702,15930712,Calais,50.94805556,1.856388889,Court of St. James,-0.1375,51.50472222
Clerk,Cardinal Thomas Wolsey,15260614,15260614,Rome,41.9,12.5,Westminster,-0.1333,51.4995
"John Longland, Bishop of Lincoln","Thomas Cromwell, Earl of Essex",15350927,15350927,Wooburn,51.98826111,-0.619419444,Hampton Court,-0.3375,51.40333333
William Pitt,"Sir William Cecil, Lord Burghley",15820901,15820930,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Henry Manners, Earl of Rutland","Sir William Cecil, Lord Burghley",15610225,15610225,York,53.95833333,-1.080277778,Court of St. James,-0.1375,51.50472222
"Walter Devereux, Viscount Hereford",John Braddocke,15460316,15460316,Chartley Manor,52.85398889,-1.986588889,NA,NA,NA
Sir H. Carye,"Sir Robert Cecil, Earl of Salisbury",16020109,16020109,Aldenham,51.6723,-0.3546,Greenwich,-0,51.48
Privy Council,Henry VIII,15440924,15440924,Woking,51.3162,-0.561,Greenwich,-0,51.48
Sir Richard Bingham,Sir Francis Walsingham,15850129,15850129,Roscommon,53.6333,-8.1833,Paris,2.3508,48.8567
Ro. Poolye,Mr. Jo. Breadgate,16010603,16010603,NA,NA,NA,NA,NA,NA
"Edward Courtenay, Earl of Devon",Sir William Cordell,15551114,15551114,NA,NA,NA,NA,NA,NA
Thos. Wilson,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15820101,16161231,NA,NA,NA,NA,NA,NA
"Henry Carey, Lord Hunsdon",Sir Francis Walsingham,15800301,15800331,Berwick,55.771,-2.007,Paris,2.3508,48.8567
Sir Henry Killigrew,Queen Elizabeth I,15721202,15721202,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Henry VIII,"Christian III, King of Denmark",15381230,15381230,Greenwich,51.48,-0,NA,NA,NA
Robert Bowes,Sir Francis Walsingham,15800423,15800423,Berwick,55.771,-2.007,Paris,2.3508,48.8567
Gerard Prounincq,William Davison,15850905,15850915,Utrecht,52.08333333,5.116666667,Antwerp,4.4,51.21666667
"Edmund Sheffield, Earl of Mulgrave","Sir Robert Cecil, Earl of Salisbury",16010620,16010620,NA,NA,NA,Greenwich,-0,51.48
Sir Nicholas Parker,John Reskymer (alias Greber),15990813,15990813,NA,NA,NA,NA,NA,NA
Henry Lello,"Sir Robert Cecil, Earl of Salisbury",16011024,16011024,NA,NA,NA,Greenwich,-0,51.48
"William Parr, Baron Parr of Horton","Thomas Dacre, (2nd) Baron Dacre of Gilsland, (of the North)",15230806,15230806,Kendall,54.326,-2.745,Morpeth,-1.678,55.163
Privy Council,"William Paget, Lord Paget",15420724,15420724,Guildford,51.2365,-0.5703,Windsor,-0.6095,51.4791
Agents of Kilmallock,Privy Council,15831013,15831013,NA,NA,NA,Greenwich,-0,51.48
Officers at Arms,"Sir William Cecil, Lord Burghley",15500101,15981231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Ralph Lane,"Sir William Cecil, Lord Burghley",15950803,15950803,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
John Morley,Ambassador Archibald Douglas,15870827,15870827,NA,NA,NA,NA,NA,NA
Sir Edward Carne,Henry VIII,15320429,15320429,Rome,41.9,12.5,Greenwich,-0,51.48
Council of Ireland,"Thomas Cromwell, Earl of Essex",15380610,15380610,NA,NA,NA,Hampton Court,-0.3375,51.40333333
Lord Claud Hamilton,"Sir William Cecil, Lord Burghley",15860920,15860920,Paisley,55.84662778,-4.423636111,Court of St. James,-0.1375,51.50472222
"William Grey, Baron Grey of Wilton",Henry VIII,15460627,15460627,Boulogne,50.7264,1.6147,Greenwich,-0,51.48
Edward Barton,"Sir Robert Cecil, Earl of Salisbury",15970417,15970417,NA,NA,NA,Greenwich,-0,51.48
Richard Barrey,Sir Francis Walsingham,15880806,15880806,Dover,51.1295,1.3089,Paris,2.3508,48.8567
Jane Gyldford,"Thomas Cromwell, Earl of Essex",15350906,15350906,Hill,NA,NA,Hampton Court,-0.3375,51.40333333
"Robert Dudley, Earl of Leicester",Sir Francis Walsingham,15871122,15871122,Flushing,51.45,3.566666667,Paris,2.3508,48.8567
T. Lord Mounteagle,Henry VIII,15361203,15361203,Horneby Castle,54.1114,-2.6323,Greenwich,-0,51.48
Don Cristofero,Sir Francis Walsingham,15890312,15890322,NA,NA,NA,Paris,2.3508,48.8567
"Sir William Cecil, Lord Burghley",Thomas Fanshawe,15951205,15951205,NA,NA,NA,NA,NA,NA
George Fremyn (Fremin),Sir Francis Walsingham,15850116,15850126,NA,NA,NA,Paris,2.3508,48.8567
Thomas Chapman,"Sir William Cecil, Lord Burghley",15880304,15880304,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
Sir Walter Bucler,Henry VIII,15450611,15450611,Worms,49.63194444,8.365277778,Greenwich,-0,51.48
Sir Richard Bingham,Sir William Fitzwilliam,15900101,15901231,NA,NA,NA,Dublin Castle,-6.267427778,53.34288611
Sir William Fitzwilliam,"Sir William Cecil, Lord Burghley",15900126,15900126,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
Sir Edward Carne,Henry VIII,15450716,15450716,Bourbourg,50.9472,2.1986,Greenwich,-0,51.48
Sir William Eure,"Thomas Cromwell, Earl of Essex",15400126,15400126,Berwick Castle,55.7738,-2.0116,Hampton Court,-0.3375,51.40333333
"Sir William Cecil, Lord Burghley","Edward Fiennes de Clinton, Earl of Lincoln",15750916,15750916,NA,NA,NA,NA,NA,NA
"Henry Herbert, of Wonastow",Privy Council,15710929,15710929,NA,NA,NA,Greenwich,-0,51.48
Sir William Stanley,"Sir William Cecil, Lord Burghley",15831225,15831225,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Thomas Randolph,Sir Francis Walsingham,15830209,15830209,St. Peter's Hill,51.51158333,-0.098361111,Paris,2.3508,48.8567
Lord General Sir John Norreys,"Sir William Cecil, Lord Burghley",15940702,15940702,La Roche-Derrien,48.7472,-3.2583,Court of St. James,-0.1375,51.50472222
John Plunket,Lord Thomas Fitzmaurice of Kerry,15790101,15791231,NA,NA,NA,Lixnaw,-9.616,52.402
Sir Edward Moore,Sir William Russell,15970322,15970322,Mellifont,53.74231667,-6.466480556,Camp at Tullagh,-6.7369,52.8003
James Henrison,"Sir William Cecil, Lord Burghley",15480709,15480709,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Guillaume le Gras,"Honor Plantagenet, Lady Lisle",15370315,15370315,Paris,48.8567,2.3508,NA,NA,NA
Richard Thornden,"Thomas Cromwell, Earl of Essex",15381104,15381104,Canterbury,51.275,1.087,Hampton Court,-0.3375,51.40333333
Edmund Wiseman,"Sir Robert Cecil, Earl of Salisbury",16010210,16010210,NA,NA,NA,Greenwich,-0,51.48
"Charles Blount, Baron Mountjoy and Earl of Devonshire","Sir Robert Cecil, Earl of Salisbury",16020331,16020331,Dublin,53.34777778,-6.259722222,Greenwich,-0,51.48
Sir Anthony Thorold,"Sir William Cecil, Lord Burghley",15920101,15921231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"James Hamilton, 3rd Earl of Arran",Sir Ralph Sadler,15591211,15591211,St. Andrews,56.3404,-2.7955,Edinburgh,-3.188888889,55.95305556
Sir Nicholas Throckmorton,"Sir William Cecil, Lord Burghley",15600513,15600513,Amboise,47.4042,0.98,Court of St. James,-0.1375,51.50472222
Thomas Fenner,Privy Council,15890922,15890922,NA,NA,NA,Greenwich,-0,51.48
Sir George Speke,"Sir William Cecil, Lord Burghley",15690825,15690825,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Rice ap Hugh,Sir William Russell,15961025,15961025,Ardee,53.85536111,-6.537894444,Camp at Tullagh,-6.7369,52.8003
Sir Thomas Wilkes (Wylkes),"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15900729,15900729,Hague,52.08333333,4.316666667,NA,NA,NA
Valentine Dale,Sir Thomas Smith,15740902,15740902,Lyons,45.76,4.84,Blois,1.3281,47.5939
Sir Thomas Chamberlain,Privy Council,15451005,15451005,Weasett upon the Mase,50.73333333,5.7,Greenwich,-0,51.48
George Tayllour,"Honor Plantagenet, Lady Lisle",15350612,15350612,London,51.5155,0.0922,NA,NA,NA
John Hackett,"Thomas Cromwell, Earl of Essex",15340312,15340312,Brussels,50.85,4.35,Hampton Court,-0.3375,51.40333333
Jenne de Saveuzes (Madame de Riou),"Honor Plantagenet, Lady Lisle",15380810,15380810,Dourrier,50.3331,1.8786,NA,NA,NA
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15700218,15700218,Carlisle,54.891,-2.944,Court of St. James,-0.1375,51.50472222
Sir Francis Walsingham,Henry Maynard,15870101,15871231,NA,NA,NA,NA,NA,NA
Sir Amias Paulet,Sir Francis Walsingham,15860425,15860425,Chartley,NA,NA,Paris,2.3508,48.8567
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15650910,15650910,Dumfries,55.07,-3.603,Court of St. James,-0.1375,51.50472222
Robert Tomlynson,"Thomas Cromwell, Earl of Essex",15330529,15330529,Boston,52.974,-0.0214,Hampton Court,-0.3375,51.40333333
Sir Thomas Norris (Norreys),"Sir Robert Cecil, Earl of Salisbury",16020119,16020119,NA,NA,NA,Greenwich,-0,51.48
Nicholas Shaxton,"Thomas Cromwell, Earl of Essex",15350527,15350527,Mortlake,51.4655,-0.2643,Hampton Court,-0.3375,51.40333333
Edward Stafford,Sir Francis Walsingham,15861103,15861103,Paris,48.8567,2.3508,Paris,2.3508,48.8567
"John Dymock (c.1493–1585), London merchant and diplomatic agent","Edward Seymour, Duke of Somerset, Lord Protector",15490316,15490316,Bremen,53.08333333,8.8,NA,NA,NA
Queen Elizabeth I,"Francis Russell, Earl of Bedford",15660402,15660402,Greenwich,51.48,-0,Berwick,-2.007,55.771
"Margaret Tudor, Queen consort of Scotland",Henry VIII,15241127,15241127,Edinburgh,55.95305556,-3.188888889,Greenwich,-0,51.48
Sir William Fitzwilliam,Sir Richard Bingham,15900323,15900323,Dublin Castle,53.34288611,-6.267427778,Roscommon,-8.1833,53.6333
Queen Elizabeth I,Sir Edward Warner,15610817,15610817,NA,NA,NA,NA,NA,NA
"Richard Sampson, Bishop of Coventry and Lichfield",Cardinal Thomas Wolsey,15221110,15221110,Valladolid,41.63333333,-4.716666667,Westminster,-0.1333,51.4995
George Wyse,"Sir William Cecil, Lord Burghley",15670620,15670620,Waterford,52.25666667,-7.129166667,Court of St. James,-0.1375,51.50472222
Sir William Russell,"Sir William Cecil, Lord Burghley",15940813,15940813,Dublin Castle,53.34288611,-6.267427778,Court of St. James,-0.1375,51.50472222
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15710817,15710817,Paris,48.8567,2.3508,Court of St. James,-0.1375,51.50472222
Stephen Vaughan,Privy Council,15450118,15450118,Antwerp,51.21666667,4.4,Greenwich,-0,51.48
Robert Naunton,William Asheby (Ashby),15890709,15890709,NA,NA,NA,NA,NA,NA
John Popham,"Sir Robert Cecil, Earl of Salisbury",16010518,16010518,"Serjeant's Inn, Fleet Street",51.5137,-0.109,Greenwich,-0,51.48
Thomas Longston,Sir Francis Walsingham,15820928,15820928,Middelburg,51.5,3.616666667,Paris,2.3508,48.8567
"John Dudley, Duke of Northumberland",Henry VIII,15460507,15460507,Guisnes,50.8686,1.8744,Greenwich,-0,51.48
Sir Nicholas Clifford,"Sir Robert Cecil, Earl of Salisbury",15940401,15940430,NA,NA,NA,Greenwich,-0,51.48
"Cardinal Reginald Pole, Archbishop of Canterbury",Henry VIII,15360527,15360527,Venice,45.4375,12.33583333,Greenwich,-0,51.48
Tho. Littilbury and Thomas Copledike,Privy Council,15871116,15871116,Stansby,53.184,-1.327,Greenwich,-0,51.48
"Margaret Vernon, Abbess of Malling","Thomas Cromwell, Earl of Essex",15350126,15350126,Stepney,51.5152,-0.0462,Hampton Court,-0.3375,51.40333333
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham","Sir Robert Cecil, Earl of Salisbury",16010605,16010605,NA,NA,NA,Greenwich,-0,51.48
Marmaduke Darrell,"Sir William Cecil, Lord Burghley",15890408,15890408,Plymouth,50.37138889,-4.142222222,Court of St. James,-0.1375,51.50472222
Sir John Tracy,"Sir Robert Cecil, Earl of Salisbury",16000606,16000606,Toddington,51.94960278,-0.5323,Greenwich,-0,51.48
Sir Edward Carne,"Edward Seymour, Duke of Somerset, Lord Protector",15470417,15470417,Bruges,51.21666667,3.233333333,NA,NA,NA
Queen Elizabeth I,Gerald Fitzgerald,15790728,15790728,Greenwich,51.48,-0,NA,NA,NA
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15170806,15170806,London,51.5155,0.0922,Venice,12.33583333,45.4375
Sir Walter Mildmay,Thomas Fanshawe,15701120,15701120,NA,NA,NA,NA,NA,NA
Mary of Guise,Sir James Croft,15591115,15591115,Edinburgh,55.95305556,-3.188888889,Berwick,-2.007,55.771
"Mary, Queen of Scots","Francis Russell, Earl of Bedford",15650828,15650828,Stirling,56.11944444,-3.935833333,Berwick,-2.007,55.771
Captain Thomas Lambyn,"Sir Robert Cecil, Earl of Salisbury",15950726,15950726,NA,NA,NA,Greenwich,-0,51.48
Charles de Danzay,Robert Beale,15831218,15831218,NA,NA,NA,London,0.0922,51.5155
Captain Edmond Waynman,J. de Franceschi,15900205,15900205,Ostend,51.22444444,2.909722222,NA,NA,NA
James V,"Christian III, King of Denmark",15351201,15351201,Stirling,56.11944444,-3.935833333,NA,NA,NA
Dr. Isaac Barrow,"Sir William Cecil, Lord Burghley",15950101,15951231,Cambridge,52.205,0.119,Court of St. James,-0.1375,51.50472222
"Sir Robert Cecil, Earl of Salisbury","Sir William Cecil, Lord Burghley",15970101,15971231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Edmund Yorke,Privy Council,15900323,15900323,Dublin Castle,53.34288611,-6.267427778,Greenwich,-0,51.48
Estates General,Sir Noel de Caron,16020930,16020930,NA,NA,NA,Clapham,-0.14,51.46
John Bishop of Exeter,"Thomas Cromwell, Earl of Essex",15330218,15330218,Ludlow,52.368,-2.718,Hampton Court,-0.3375,51.40333333
"Henry Brooke, Baron Cobham","Sir Robert Cecil, Earl of Salisbury",16021229,16021229,Blackfriars,51.513096,-0.102959111,Greenwich,-0,51.48
Thomas Wyrryal,Sir John Perrott,15830515,15830515,Haverford West,51.8,-4.97,Dublin Castle,-6.267427778,53.34288611
"Thomas Benoit, Clareniceux King of Arms","Charles Somerset, Earl of Worcester",15150223,15150223,Paris,48.8567,2.3508,NA,NA,NA
Queen Elizabeth I,Commissioners of Musters in Wales,15850801,15850801,NA,NA,NA,NA,NA,NA
William Broughton,Nicholas Williamson,15860101,15941231,NA,NA,NA,Sawley,-1.297,52.876
Edward Baeshe,Sir Francis Walsingham,15860724,15860724,London,51.5155,0.0922,Paris,2.3508,48.8567
Adam Loftus,"Sir William Cecil, Lord Burghley",15881115,15881115,Dublin,53.34777778,-6.259722222,Court of St. James,-0.1375,51.50472222
"Henry Algernon Percy, Earl of Northumberland","Thomas Cromwell, Earl of Essex",15360513,15360513,Newyngton Green,51.5513,-0.0853,Hampton Court,-0.3375,51.40333333
"Matthew Stewart, Earl of Lennox","Edward Seymour, Duke of Somerset, Lord Protector",15470916,15470916,Carlisle,54.891,-2.944,NA,NA,NA
Thomas Hall,"Thomas Cromwell, Earl of Essex",15331006,15331006,Huntingdon,52.3364,-0.1717,Hampton Court,-0.3375,51.40333333
John Colville,"Sir Robert Cecil, Earl of Salisbury",15990624,15990624,London,51.5155,0.0922,Greenwich,-0,51.48
King Edward VI,Magistrates of Lucca,15510101,15511231,NA,NA,NA,NA,NA,NA
Sir Hen. Saville,"Sir Robert Cecil, Earl of Salisbury",16010101,16011231,NA,NA,NA,Greenwich,-0,51.48
"Robert Dudley, Earl of Leicester",Privy Council,15880724,15880724,NA,NA,NA,Greenwich,-0,51.48
Sir Hugh Paulet,Sir William Winter (Wynter),15630720,15630720,NA,NA,NA,London,0.0922,51.5155
Lord Cobham,Queen Elizabeth I,15800301,15800301,NA,NA,NA,Greenwich,-0,51.48
Charles de Marillac,"Francis I, King of France",15390812,15390812,NA,NA,NA,NA,NA,NA
"Sir Robert Cecil, Earl of Salisbury",Sir Thomas Sherley,15910921,15910921,NA,NA,NA,NA,NA,NA
"William Paulet, Marquess of Winchester",Sir William Herbert,15631214,15631214,NA,NA,NA,Newport,-3,51.58333333
"Anne, Lady Cobham","Sir Robert Cecil, Earl of Salisbury",15990530,15990530,Durham Place,51.50888889,-0.123333333,Greenwich,-0,51.48
"Margaret Tudor, Queen consort of Scotland",Henry VIII,15370308,15370308,NA,NA,NA,Greenwich,-0,51.48
Edmond Standen,"Sir Robert Cecil, Earl of Salisbury",16020226,16020226,NA,NA,NA,Greenwich,-0,51.48
James V,Henry VIII,15371103,15371103,Stirling Castle,56.12388889,-3.948888889,Greenwich,-0,51.48
John Somers,"Sir William Cecil, Lord Burghley",15630209,15630209,Bonneval,48.1822,1.3889,Court of St. James,-0.1375,51.50472222
Charles de Marillac,"Francis I, King of France",15410614,15410614,London,51.5155,0.0922,NA,NA,NA
Queen's Tenant,"Sir William Cecil, Lord Burghley",15821112,15821112,Westmoreland,54.5,-2.583333333,Court of St. James,-0.1375,51.50472222
Robert Seall,Sir John Fortescue,15890101,16031231,NA,NA,NA,Hendon,-0.2252,51.5837
"Henry Norris, Baron Norris","Sir William Cecil, Lord Burghley",15700101,15701231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Cardinal Girolamo Ghinucci,Cardinal Thomas Wolsey,15270131,15270131,Valladolid,41.63333333,-4.716666667,Westminster,-0.1333,51.4995
Anthony Standen,"Sir William Cecil, Lord Burghley",15950101,15951231,NA,NA,NA,Court of St. James,-0.1375,51.50472222
Charles Paget,"Mary, Queen of Scots",15850717,15850727,NA,NA,NA,Stirling,-3.935833333,56.11944444
Queen Elizabeth I,"Hen. de Bourbon, Prince de Dombes",15901217,15901217,NA,NA,NA,NA,NA,NA
"George Talbot, 6th Earl of Shrewsbury","Sir William Cecil, Lord Burghley",15690521,15690521,Wingfield,53.08911111,-1.443030556,Court of St. James,-0.1375,51.50472222
"Mary, Queen of Scots",De l&#x0027;Aubespine-Chasteauneuf,15860701,15860731,NA,NA,NA,NA,NA,NA
"William Paulet, Marquess of Winchester",Henry Fanshaw,15660106,15660106,NA,NA,NA,NA,NA,NA
Adam Loftus,Sir Francis Walsingham,15890515,15890515,Drogheda,53.71388889,-6.350277778,Paris,2.3508,48.8567
John Brigantyne,"Sir William Cecil, Lord Burghley",15601106,15601106,Emden,53.36694444,7.206111111,Court of St. James,-0.1375,51.50472222
Thomas Stydolf,"Thomas Cromwell, Earl of Essex",15341010,15341010,NA,NA,NA,Hampton Court,-0.3375,51.40333333
William Davison,"Robert Dudley, Earl of Leicester",15780212,15780212,Antwerp,51.21666667,4.4,Flushing,3.566666667,51.45
Sir James Croft,"Sir William Cecil, Lord Burghley",15591110,15591110,Berwick,55.771,-2.007,Court of St. James,-0.1375,51.50472222
Sir Richard Jerningham,"Charles Brandon, Duke of Suffolk",15231002,15231002,Logrono,42.465,-2.445555556,Darlington,-1.5526,54.527
Thomas Flemynge,"Sir William Cecil, Lord Burghley",15950521,15950521,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Robert Carey, Earl of Monmouth","Sir Robert Cecil, Earl of Salisbury",15970612,15970612,Berwick,55.771,-2.007,Greenwich,-0,51.48
"Henry IV, King of France","Jean De Thumery, Sieur De Boissize",16011201,16011211,NA,NA,NA,NA,NA,NA
Anthoine Brusset,"Arthur Plantagenet, Lord Lisle",15380424,15380424,Greenwich,51.48,-0,Calais,1.856388889,50.94805556
Sir Henry Killigrew,Queen Elizabeth I,15591115,15591115,NA,NA,NA,Greenwich,-0,51.48
Sir William Fitzwilliam,Sir Edward Fitton,15740224,15740224,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15870410,15870410,NA,NA,NA,NA,NA,NA
Cardinal Borghese,Robert Charnock,16000905,16000915,Rome,41.9,12.5,NA,NA,NA
"George Goringe, Receiver of the Wards","Sir Robert Cecil, Earl of Salisbury",15960723,15960723,Court,NA,NA,Greenwich,-0,51.48
Sir T. Palmer,"George Brooke, Baron Cobham",15291013,15501013,NA,NA,NA,NA,NA,NA
Queen Elizabeth I,Sir Henry Wallop,15821112,15821112,NA,NA,NA,Dublin,-6.259722222,53.34777778
Sir Thomas Bodley,"Sir William Cecil, Lord Burghley",15910423,15910423,Hague,52.08333333,4.316666667,Court of St. James,-0.1375,51.50472222
"Jean du Bellay, Bishop of Paris",Bailly of Troyes,15320320,15320320,La F&#x00E8;re,49.6625,3.366388889,NA,NA,NA
Pope Paul III,"Holy Roman Emperor Charles V, (King Charles I of Spain)",15390102,15390102,Rome,41.9,12.5,Brussels,4.35,50.85
"Thomas Boleyn, Earl of Wiltshire and Ormond",Henry VIII,15121012,15121012,Brussels,50.85,4.35,Greenwich,-0,51.48
John Husee,"Honor Plantagenet, Lady Lisle",15390607,15390607,London,51.5155,0.0922,NA,NA,NA
Donogh O'Connor Sligo,"Charles Blount, Baron Mountjoy and Earl of Devonshire",16000927,16000927,Sligo,54.2667,-8.4833,Dublin,-6.259722222,53.34777778
Sir Horatio Palavicino,Sir Francis Walsingham,15870402,15870402,Frankfurt,50.11666667,8.683333333,Paris,2.3508,48.8567
Queen Mary I,"Edward Stanley, Earl of Derby",15571123,15571123,Court of St. James,51.50472222,-0.1375,NA,NA,NA
Thomas Dabridgcourte,Privy Council,15870228,15870228,Longdon Hall,52.413,-1.778,Greenwich,-0,51.48
Brian Fitzwilliam,"Sir William Cecil, Lord Burghley",15880728,15880728,Denbigh,53.187,-3.415,Court of St. James,-0.1375,51.50472222
Edmund Harvel,"John Russell, Earl of Bedford",15450516,15450516,Venice,45.4375,12.33583333,Streynsham,-2.144583333,52.05294722
John Fitzwilliams,"Robert Dudley, Earl of Leicester",15710127,15710127,Antwerp,51.21666667,4.4,Flushing,3.566666667,51.45
"Holy Roman Emperor Charles V, (King Charles I of Spain)",Mercurinus Gattinara,15210101,15211231,Brussels,50.85,4.35,NA,NA,NA
"Patrick Gray, Lord Gray (Master of Gray)",Ambassador Archibald Douglas,15861021,15861021,NA,NA,NA,NA,NA,NA
John &#x00C1;pinus,"Thomas Cromwell, Earl of Essex",15360423,15360423,Hamburg,53.56527778,10.00138889,Hampton Court,-0.3375,51.40333333
Sir Thomas Scott,Sir Francis Walsingham,15840306,15840306,Scott's Hall,51.11388889,0.969722222,Paris,2.3508,48.8567
Queen Elizabeth I,Archduke Albert,16000311,16000311,NA,NA,NA,NA,NA,NA
Company of Merchant Adventurers,"Thomas Cromwell, Earl of Essex",15360129,15360129,Bergen op Zoom,51.5,4.3,Hampton Court,-0.3375,51.40333333
Thomas Phelippes,Thomas Fanshawe,15980209,15980209,NA,NA,NA,NA,NA,NA
Thomas Harley,"Sir Robert Cecil, Earl of Salisbury",15970618,15970618,Clerkenwell,51.52603889,-0.103475,Greenwich,-0,51.48
"Tobias Matthew, Archbishop of York","Sir Robert Cecil, Earl of Salisbury",16010123,16010123,NA,NA,NA,Greenwich,-0,51.48
Ch&#x00E2;teaumartin,"Sir William Cecil, Lord Burghley",15950503,15950513,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"Thomas Knyvett, Baron Knyvett",Sir Francis Walsingham,15870903,15870903,Brill,51.9,4.166666667,Paris,2.3508,48.8567
John Popham,"Sir Robert Cecil, Earl of Salisbury",16020521,16020521,"Serjeant's Inn, Fleet Street",51.5137,-0.109,Greenwich,-0,51.48
Commons of Galway,Sir Edward Bellingham,15480611,15480611,Galway,53.27194444,-9.048888889,NA,NA,NA
Henry Bird,Lady Waterhouse,15860914,15860914,Dublin Castle,53.34288611,-6.267427778,NA,NA,NA
"Anne Rouaud, Madame du Bours","Honor Plantagenet, Lady Lisle",15370117,15370117,Abbeville,50.1058,1.8358,NA,NA,NA
Sir Edward Carne,"William Paget, Lord Paget",15460613,15460613,Brussels,50.85,4.35,Windsor,-0.6095,51.4791
Margaret,Henry VIII,15190101,15191231,Mechlin,51.01666667,4.466666667,Greenwich,-0,51.48
William Byrd,"Sir William Cecil, Lord Burghley",15801214,15801214,Chester,53.1903,-2.8916,Court of St. James,-0.1375,51.50472222
Sir Henry Wallop,Sir Francis Walsingham,15840603,15840603,NA,NA,NA,Paris,2.3508,48.8567
Sir Francis Walsingham,Duke John Casimir of the Palatinate,15780715,15780715,NA,NA,NA,NA,NA,NA
"Ferdinando I De' Medici, Grand Duke of Tuscany","Sir William Cecil, Lord Burghley",15960918,15960918,NA,NA,NA,Court of St. James,-0.1375,51.50472222
"William Blount, Baron Mountjoy",Cardinal Thomas Wolsey,15160305,15160305,Tournay,50.6,3.383333333,Westminster,-0.1333,51.4995
Charles de Marillac,"Francis I, King of France",15411012,15411012,London,51.5155,0.0922,NA,NA,NA
John Bateman,"Sir William Cecil, Lord Burghley",15710817,15710817,Sheffield,53.38361111,-1.466944444,Court of St. James,-0.1375,51.50472222
Henry Norris (Norreys),William Davison,15851010,15851010,Brill,51.9,4.166666667,Antwerp,4.4,51.21666667
Privy Council,Queen Elizabeth I,15721207,15721207,NA,NA,NA,Greenwich,-0,51.48
Sir Anthony Browne,Marquis of Northampton,15430925,15430925,Darlington,54.527,-1.5526,NA,NA,NA
Thomas Bellott,"Sir Robert Cecil, Earl of Salisbury",15970817,15970817,Weymouth,50.613,-2.457,Greenwich,-0,51.48
Sir Nicholas Throckmorton,"Edward Fiennes de Clinton, Earl of Lincoln",15620804,15620804,Paris,48.8567,2.3508,NA,NA,NA
James V,Cardinals,15150703,15150703,Edinburgh,55.95305556,-3.188888889,NA,NA,NA
"William Thornton or Dent, Abbot of St. Mary, York",Dr. Bellasis,15350519,15350519,Myton,54.094,-1.329,NA,NA,NA
"Richard Rich, Baron Rich",Privy Council,15510829,15510829,Windsor,51.4791,-0.6095,Greenwich,-0,51.48
